cluster;nbAircraft;uncertainty;clusterId;isSuperSolution
cluster_10ac_1err_0;10;1;0;1
cluster_10ac_1err_1;10;1;1;1
cluster_10ac_1err_2;10;1;2;1
cluster_10ac_1err_3;10;1;3;1
cluster_10ac_1err_4;10;1;4;1
cluster_10ac_1err_5;10;1;5;1
cluster_10ac_1err_6;10;1;6;1
cluster_10ac_1err_7;10;1;7;1
cluster_10ac_1err_8;10;1;8;1
cluster_10ac_1err_9;10;1;9;1
cluster_10ac_2err_0;10;2;0;1
cluster_10ac_2err_1;10;2;1;0
cluster_10ac_2err_2;10;2;2;1
cluster_10ac_2err_3;10;2;3;1
cluster_10ac_2err_4;10;2;4;1
cluster_10ac_2err_5;10;2;5;1
cluster_10ac_2err_6;10;2;6;0
cluster_10ac_2err_7;10;2;7;1
cluster_10ac_2err_8;10;2;8;1
cluster_10ac_2err_9;10;2;9;1
cluster_10ac_3err_0;10;3;0;1
cluster_10ac_3err_1;10;3;1;1
cluster_10ac_3err_2;10;3;2;0
cluster_10ac_3err_3;10;3;3;1
cluster_10ac_3err_4;10;3;4;1
cluster_10ac_3err_5;10;3;5;1
cluster_10ac_3err_6;10;3;6;1
cluster_10ac_3err_7;10;3;7;1
cluster_10ac_3err_8;10;3;8;1
cluster_10ac_3err_9;10;3;9;1
cluster_15ac_1err_0;15;1;0;1
cluster_15ac_1err_1;15;1;1;1
cluster_15ac_1err_2;15;1;2;1
cluster_15ac_1err_3;15;1;3;1
cluster_15ac_1err_4;15;1;4;1
cluster_15ac_1err_5;15;1;5;1
cluster_15ac_1err_6;15;1;6;1
cluster_15ac_1err_7;15;1;7;1
cluster_15ac_1err_8;15;1;8;1
cluster_15ac_1err_9;15;1;9;1
cluster_15ac_2err_0;15;2;0;1
cluster_15ac_2err_1;15;2;1;1
cluster_15ac_2err_2;15;2;2;1
cluster_15ac_2err_3;15;2;3;1
cluster_15ac_2err_4;15;2;4;0
cluster_15ac_2err_5;15;2;5;0
cluster_15ac_2err_7;15;2;7;1
cluster_15ac_2err_8;15;2;8;1
cluster_15ac_2err_9;15;2;9;0
cluster_15ac_3err_0;15;3;0;0
cluster_15ac_3err_3;15;3;3;0
cluster_15ac_3err_4;15;3;4;0
cluster_15ac_3err_5;15;3;5;0
cluster_15ac_3err_6;15;3;6;0
cluster_15ac_3err_7;15;3;7;0
cluster_15ac_3err_8;15;3;8;1
cluster_15ac_3err_9;15;3;9;0
cluster_20ac_1err_0;20;1;0;0
cluster_20ac_1err_2;20;1;2;0
cluster_20ac_1err_3;20;1;3;0
cluster_20ac_1err_4;20;1;4;0
cluster_20ac_1err_5;20;1;5;0
cluster_20ac_1err_6;20;1;6;0
cluster_20ac_1err_7;20;1;7;0
cluster_20ac_1err_9;20;1;9;0
cluster_20ac_2err_0;20;2;0;0
cluster_20ac_2err_1;20;2;1;0
cluster_20ac_2err_2;20;2;2;0
cluster_20ac_2err_3;20;2;3;0
cluster_20ac_2err_4;20;2;4;0
cluster_20ac_2err_5;20;2;5;0
cluster_20ac_2err_8;20;2;8;0
cluster_20ac_2err_9;20;2;9;0
cluster_20ac_3err_4;20;3;4;0
cluster_20ac_3err_8;20;3;8;0
cluster_20ac_3err_9;20;3;9;0
cluster_5ac_1err_0;5;1;0;1
cluster_5ac_1err_1;5;1;1;1
cluster_5ac_1err_2;5;1;2;1
cluster_5ac_1err_3;5;1;3;1
cluster_5ac_1err_4;5;1;4;1
cluster_5ac_1err_5;5;1;5;1
cluster_5ac_1err_6;5;1;6;1
cluster_5ac_1err_7;5;1;7;1
cluster_5ac_1err_8;5;1;8;1
cluster_5ac_1err_9;5;1;9;1
cluster_5ac_2err_0;5;2;0;1
cluster_5ac_2err_1;5;2;1;1
cluster_5ac_2err_2;5;2;2;1
cluster_5ac_2err_3;5;2;3;1
cluster_5ac_2err_4;5;2;4;1
cluster_5ac_2err_5;5;2;5;1
cluster_5ac_2err_6;5;2;6;1
cluster_5ac_2err_7;5;2;7;1
cluster_5ac_2err_8;5;2;8;1
cluster_5ac_2err_9;5;2;9;1
cluster_5ac_3err_0;5;3;0;1
cluster_5ac_3err_1;5;3;1;1
cluster_5ac_3err_2;5;3;2;1
cluster_5ac_3err_3;5;3;3;1
cluster_5ac_3err_4;5;3;4;1
cluster_5ac_3err_5;5;3;5;1
cluster_5ac_3err_6;5;3;6;1
cluster_5ac_3err_7;5;3;7;1
cluster_5ac_3err_8;5;3;8;1
cluster_5ac_3err_9;5;3;9;1
