cluster;nbAircraft;uncertainty;clusterId;iterations;rdOff1;rdOff2;InitialConfigurationCost;AlgorithmConfigurationCost;ConfigurationsDistance
cluster_10ac_1err_0;10;1;0;0;0;3;8;2500;3;
cluster_10ac_1err_0;10;1;0;1;0;3;8;2500;3;
cluster_10ac_1err_0;10;1;0;0;3;6;8;2500;3;
cluster_10ac_1err_0;10;1;0;1;3;4;8;2500;3;
cluster_10ac_1err_0;10;1;0;2;3;6;8;2500;3;
cluster_10ac_1err_0;10;1;0;3;3;0;8;2500;3;
cluster_10ac_1err_0;10;1;0;4;3;0;8;2500;3;
cluster_10ac_1err_0;10;1;0;2;5;3;8;2500;3;
cluster_10ac_1err_0;10;1;0;3;7;3;8;2500;3;
cluster_10ac_1err_1;10;1;1;0;0;4;27;52;16;
cluster_10ac_1err_1;10;1;1;1;0;6;27;30;6;
cluster_10ac_1err_1;10;1;1;2;0;2;27;65;11;
cluster_10ac_1err_1;10;1;1;3;0;9;27;39;7;
cluster_10ac_1err_1;10;1;1;4;0;9;27;52;9;
cluster_10ac_1err_1;10;1;1;0;1;7;27;76;14;
cluster_10ac_1err_1;10;1;1;1;1;6;27;126;19;
cluster_10ac_1err_1;10;1;1;2;1;4;27;2561;16;
cluster_10ac_1err_1;10;1;1;3;1;7;27;84;24;
cluster_10ac_1err_1;10;1;1;4;1;3;27;2564;10;
cluster_10ac_1err_1;10;1;1;3;2;0;27;49;8;
cluster_10ac_1err_1;10;1;1;1;3;1;27;2561;10;
cluster_10ac_1err_1;10;1;1;3;3;1;27;2576;12;
cluster_10ac_1err_1;10;1;1;0;4;1;27;2543;14;
cluster_10ac_1err_1;10;1;1;1;4;3;27;2546;7;
cluster_10ac_1err_1;10;1;1;2;4;1;27;2560;16;
cluster_10ac_1err_1;10;1;1;3;4;8;27;70;12;
cluster_10ac_1err_1;10;1;1;4;4;9;27;55;11;
cluster_10ac_1err_1;10;1;1;1;5;0;27;2519;3;
cluster_10ac_1err_1;10;1;1;3;5;4;27;106;18;
cluster_10ac_1err_1;10;1;1;3;6;1;27;74;14;
cluster_10ac_1err_1;10;1;1;0;7;0;27;41;8;
cluster_10ac_1err_1;10;1;1;1;7;4;27;44;10;
cluster_10ac_1err_1;10;1;1;4;7;1;27;57;9;
cluster_10ac_1err_1;10;1;1;1;8;1;27;64;10;
cluster_10ac_1err_1;10;1;1;2;8;1;27;104;15;
cluster_10ac_1err_1;10;1;1;3;9;4;27;41;11;
cluster_10ac_1err_1;10;1;1;4;9;0;27;106;19;
cluster_10ac_1err_2;10;1;2;1;1;8;33;54;12;
cluster_10ac_1err_2;10;1;2;2;1;6;33;78;15;
cluster_10ac_1err_2;10;1;2;0;2;9;33;75;11;
cluster_10ac_1err_2;10;1;2;1;2;7;33;88;15;
cluster_10ac_1err_2;10;1;2;2;2;8;33;96;20;
cluster_10ac_1err_2;10;1;2;3;2;0;33;67;8;
cluster_10ac_1err_2;10;1;2;4;2;6;33;70;16;
cluster_10ac_1err_2;10;1;2;0;3;6;33;90;16;
cluster_10ac_1err_2;10;1;2;1;3;2;33;67;16;
cluster_10ac_1err_2;10;1;2;2;3;2;33;90;18;
cluster_10ac_1err_2;10;1;2;3;3;2;33;91;18;
cluster_10ac_1err_2;10;1;2;0;4;6;33;2566;11;
cluster_10ac_1err_2;10;1;2;1;4;8;33;62;13;
cluster_10ac_1err_2;10;1;2;3;4;8;33;72;14;
cluster_10ac_1err_2;10;1;2;4;4;8;33;93;16;
cluster_10ac_1err_2;10;1;2;0;5;2;33;39;5;
cluster_10ac_1err_2;10;1;2;1;5;2;33;57;5;
cluster_10ac_1err_2;10;1;2;0;6;2;33;97;18;
cluster_10ac_1err_2;10;1;2;1;6;4;33;2538;9;
cluster_10ac_1err_2;10;1;2;2;6;8;33;133;31;
cluster_10ac_1err_2;10;1;2;3;6;1;33;62;14;
cluster_10ac_1err_2;10;1;2;4;6;4;33;2552;10;
cluster_10ac_1err_2;10;1;2;0;7;2;33;38;2;
