cluster;nbAircraft;uncertainty;clusterId;iterations;default;CP;SA
cluster_10ac_1err_0;10;1;0;0;2500,0;8,0;40,0;
cluster_10ac_1err_0;10;1;0;1;2500,0;8,0;16,0;
cluster_10ac_1err_0;10;1;0;2;2500,0;8,0;10,0;
cluster_10ac_1err_0;10;1;0;3;2500,0;8,0;14,0;
cluster_10ac_1err_0;10;1;0;4;2500,0;8,0;23,0;
cluster_10ac_1err_1;10;1;1;0;10000,0;27,0;83,0;
cluster_10ac_1err_1;10;1;1;1;10000,0;27,0;148,0;
cluster_10ac_1err_1;10;1;1;2;10000,0;27,0;58,0;
cluster_10ac_1err_1;10;1;1;3;10000,0;27,0;91,0;
cluster_10ac_1err_1;10;1;1;4;10000,0;27,0;82,0;
cluster_10ac_1err_2;10;1;2;0;10000,0;33,0;132,0;
cluster_10ac_1err_2;10;1;2;1;10000,0;33,0;129,0;
cluster_10ac_1err_2;10;1;2;2;10000,0;33,0;104,0;
cluster_10ac_1err_2;10;1;2;3;10000,0;33,0;131,0;
cluster_10ac_1err_2;10;1;2;4;10000,0;33,0;98,0;
cluster_10ac_1err_3;10;1;3;0;2500,0;17,0;41,0;
cluster_10ac_1err_3;10;1;3;1;2500,0;17,0;49,0;
cluster_10ac_1err_3;10;1;3;2;2500,0;17,0;63,0;
cluster_10ac_1err_3;10;1;3;3;2500,0;17,0;66,0;
cluster_10ac_1err_3;10;1;3;4;2500,0;17,0;77,0;
cluster_10ac_1err_4;10;1;4;0;5000,0;20,0;41,0;
cluster_10ac_1err_4;10;1;4;1;5000,0;20,0;63,0;
cluster_10ac_1err_4;10;1;4;2;5000,0;20,0;47,0;
cluster_10ac_1err_4;10;1;4;3;5000,0;20,0;72,0;
cluster_10ac_1err_4;10;1;4;4;5000,0;20,0;38,0;
cluster_10ac_1err_5;10;1;5;0;10000,0;48,0;135,0;
cluster_10ac_1err_5;10;1;5;1;10000,0;48,0;111,0;
cluster_10ac_1err_5;10;1;5;2;10000,0;48,0;166,0;
cluster_10ac_1err_5;10;1;5;3;10000,0;48,0;145,0;
cluster_10ac_1err_5;10;1;5;4;10000,0;48,0;110,0;
cluster_10ac_1err_6;10;1;6;0;10000,0;46,0;177,0;
cluster_10ac_1err_6;10;1;6;1;10000,0;46,0;127,0;
cluster_10ac_1err_6;10;1;6;2;10000,0;46,0;88,0;
cluster_10ac_1err_6;10;1;6;3;10000,0;46,0;64,0;
cluster_10ac_1err_6;10;1;6;4;10000,0;46,0;129,0;
cluster_10ac_1err_7;10;1;7;0;5000,0;24,0;51,0;
cluster_10ac_1err_7;10;1;7;1;5000,0;24,0;70,0;
cluster_10ac_1err_7;10;1;7;2;5000,0;24,0;87,0;
cluster_10ac_1err_7;10;1;7;3;5000,0;24,0;68,0;
cluster_10ac_1err_7;10;1;7;4;5000,0;24,0;65,0;
cluster_10ac_1err_8;10;1;8;0;7500,0;48,0;194,0;
cluster_10ac_1err_8;10;1;8;1;7500,0;48,0;126,0;
cluster_10ac_1err_8;10;1;8;2;7500,0;48,0;117,0;
cluster_10ac_1err_8;10;1;8;3;7500,0;48,0;127,0;
cluster_10ac_1err_8;10;1;8;4;7500,0;48,0;126,0;
cluster_10ac_1err_9;10;1;9;0;5000,0;27,0;108,0;
cluster_10ac_1err_9;10;1;9;1;5000,0;27,0;120,0;
cluster_10ac_1err_9;10;1;9;2;5000,0;27,0;46,0;
cluster_10ac_1err_9;10;1;9;3;5000,0;27,0;75,0;
cluster_10ac_1err_9;10;1;9;4;5000,0;27,0;125,0;
cluster_10ac_2err_0;10;2;0;0;2500,0;8,0;17,0;
cluster_10ac_2err_0;10;2;0;1;2500,0;8,0;20,0;
cluster_10ac_2err_0;10;2;0;2;2500,0;8,0;13,0;
cluster_10ac_2err_0;10;2;0;3;2500,0;8,0;32,0;
cluster_10ac_2err_0;10;2;0;4;2500,0;8,0;51,0;
cluster_10ac_2err_1;10;2;1;0;5000,0;52,0;144,0;
cluster_10ac_2err_1;10;2;1;1;5000,0;52,0;97,0;
cluster_10ac_2err_1;10;2;1;2;5000,0;52,0;127,0;
cluster_10ac_2err_1;10;2;1;3;5000,0;52,0;131,0;
cluster_10ac_2err_1;10;2;1;4;5000,0;52,0;109,0;
cluster_10ac_2err_2;10;2;2;0;7500,0;33,0;74,0;
cluster_10ac_2err_2;10;2;2;1;7500,0;33,0;86,0;
cluster_10ac_2err_2;10;2;2;2;7500,0;33,0;107,0;
cluster_10ac_2err_2;10;2;2;3;7500,0;33,0;86,0;
cluster_10ac_2err_2;10;2;2;4;7500,0;33,0;100,0;
cluster_10ac_2err_3;10;2;3;0;15000,0;59,0;157,0;
cluster_10ac_2err_3;10;2;3;1;15000,0;59,0;119,0;
cluster_10ac_2err_3;10;2;3;2;15000,0;59,0;201,0;
cluster_10ac_2err_3;10;2;3;3;15000,0;59,0;176,0;
cluster_10ac_2err_3;10;2;3;4;15000,0;59,0;112,0;
cluster_10ac_2err_4;10;2;4;0;12500,0;78,0;177,0;
cluster_10ac_2err_4;10;2;4;1;12500,0;78,0;147,0;
cluster_10ac_2err_4;10;2;4;2;12500,0;78,0;139,0;
cluster_10ac_2err_4;10;2;4;3;12500,0;78,0;156,0;
cluster_10ac_2err_4;10;2;4;4;12500,0;78,0;154,0;
cluster_10ac_2err_5;10;2;5;0;7500,0;48,0;89,0;
cluster_10ac_2err_5;10;2;5;1;7500,0;48,0;160,0;
cluster_10ac_2err_5;10;2;5;2;7500,0;48,0;140,0;
cluster_10ac_2err_5;10;2;5;3;7500,0;48,0;140,0;
cluster_10ac_2err_5;10;2;5;4;7500,0;48,0;110,0;
cluster_10ac_2err_6;10;2;6;0;7500,0;58,0;110,0;
cluster_10ac_2err_6;10;2;6;1;7500,0;58,0;94,0;
cluster_10ac_2err_6;10;2;6;2;7500,0;58,0;185,0;
cluster_10ac_2err_6;10;2;6;3;7500,0;58,0;130,0;
